Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
syscall_ioctl,2,0,2,1854,0,1854,0.06871,0,0.007535
__GI___ioctl,0,2,2,0,1384,1384,0,0.155094,0.003245
__close,0,3,3,0,3351,3351,0,0.168375,0.003245
__GI___socketpair,0,1,1,0,940,940,0,0.144298,0.003245
syscall_socketpair,1,0,1,940,0,940,0.044344,0,0.006155
__fcntl64_nocancel_adjusted,0,2,2,0,2122,2122,0,0.155094,0.003245
syscall_fcntl,2,0,2,2122,0,2122,0.06871,0,0.007535
__poll,0,1,1,0,17331,17331,0,0,0.003245
syscall_poll,1,0,1,17331,0,17331,0,0,0.006005
pthread_create@GLIBC_2.2.5,0,1,1,0,1402,1402,0,0.144298,0.003245
__mprotect,0,1,1,0,939,939,0,0.009304,0.003245
syscall_clone3,1,0,1,666,0,666,0.003846,0,0.004687
start_thread,0,3,3,0,1761,1761,0,0.01294,0.003245
__GI___inet_pton,1,1,2,1309,1309,2618,0.023245,0.015669,0.005505
getaddrinfo,7,1,8,3646,3646,7292,0.099729,0.144298,0.018742
dl_open_worker_begin,1,1,2,468,468,936,0.000212,0.009304,0.004165
__GI___setsockopt,0,1,1,0,2207,2207,0,0.144298,0.003245
syscall_setsockopt,1,0,1,2207,0,2207,0.044344,0,0.006155
__sendmmsg,0,1,1,0,469,469,0,0,0.003245
syscall_sendmmsg,1,0,1,469,0,469,0,0,0.006005
__libc_recvfrom,0,1,1,0,938,938,0,0.007143,0.003245
syscall_recvfrom,2,0,2,5055,0,5055,0.045466,0,0.008915
__GI___bind,0,1,1,0,299,299,0,0.015669,0.003245
syscall_bind,1,0,1,299,0,299,0.044344,0,0.006155
__GI___getsockname,0,2,2,0,1338,1338,0,0.159967,0.003245
syscall_getsockname,1,0,1,1338,0,1338,0.044344,0,0.006155
__libc_sendto,0,1,1,0,299,299,0,0.015669,0.003245
syscall_sendto,1,0,1,1236,0,1236,0.044344,0,0.006155
__libc_recvmsg,0,1,1,0,897,897,0,0.015669,0.003245
syscall_recvmsg,1,0,1,897,0,897,0.044344,0,0.006155
__send,0,1,1,0,937,937,0,0.144298,0.003245
__madvise,0,1,1,0,469,469,0,0,0.003245
syscall_madvise,1,0,1,469,0,469,0,0,0.006005
__getsockopt,0,1,1,0,468,468,0,0,0.003245
syscall_getsockopt,1,0,1,468,0,468,0,0,0.006005
__GI___getpeername,0,1,1,0,468,468,0,0.144298,0.003245
syscall_getpeername,1,0,1,468,0,468,0.044344,0,0.006155
__libc_recv,0,1,1,0,4117,4117,0,0.144298,0.003245
__GI___getegid,0,1,1,0,342,342,0,0,0.003245
syscall_getegid,1,0,1,342,0,342,0,0,0.006005
chain9,1,2,3,107,107,214,0,0.001086,0.005349
chain7,2,2,4,104,104,208,0.000175,0.006195,0.008673
chain2,2,2,4,158,158,316,0.027294,0.001086,0.007301
chain5,4,2,6,183,183,366,0.032689,0.005347,0.007372
chain8,1,2,3,168,168,336,0.000175,0.006195,0.005698
chain3,2,1,3,54,54,108,0.000878,0.001059,0.008242
chain6,1,2,3,136,136,272,0.000171,0.001197,0.006355
__GI___futex_abstimed_wait_cancelable64,0,1,1,0,10,10,0,0.007143,0.003245
__GI___lll_lock_wait,0,1,1,0,2,2,0,0.144298,0.003245
__GI___lll_lock_wake,0,1,1,0,3,3,0,0.144298,0.003245
multiply,1,1,2,1,1,2,0.026387,0.000027,0.003705
